Source Model,Language,Group,Choice Set,Type,Scorer Model 1,Scorer Model 2,Krippendorff Alpha,Num_Texts,Num_Scorers
deepseek,de,Rohingya (de),Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,qwen,-0.00013763734890148704,60,
deepseek,de,Rohingya (de),Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gemini,gpt,0.0737731140433151,57,
deepseek,de,Rohingya (de),Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gemini,qwen,0.10294479319584471,60,
deepseek,de,Rohingya (de),Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gpt,qwen,0.4384251386971335,57,
deepseek,de,Tibeter,"(5,4,3,2,1) (de)",Pairwise,deepseek,gemini,-0.00846924813246508,60,
deepseek,de,Tibeter,"(5,4,3,2,1) (de)",Pairwise,deepseek,gpt,0.02298627770783268,60,
deepseek,de,Tibeter,"(5,4,3,2,1) (de)",Pairwise,deepseek,qwen,-0.005781199632073797,60,
deepseek,de,Tibeter,"(5,4,3,2,1) (de)",Pairwise,gemini,gpt,0.03568132356372555,60,
deepseek,de,Tibeter,"(5,4,3,2,1) (de)",Pairwise,gemini,qwen,-0.008030821161028268,60,
deepseek,de,Tibeter,"(5,4,3,2,1) (de)",Pairwise,gpt,qwen,0.04042416980717711,60,
deepseek,de,Tibeter,"(A,B,C,D) (de)",Pairwise,deepseek,gemini,7.42905124020421e-05,60,
deepseek,de,Tibeter,"(A,B,C,D) (de)",Pairwise,deepseek,gpt,0.015722409820091987,60,
deepseek,de,Tibeter,"(A,B,C,D) (de)",Pairwise,deepseek,qwen,0.034588258742817124,60,
deepseek,de,Tibeter,"(A,B,C,D) (de)",Pairwise,gemini,gpt,-0.005245824601699534,60,
deepseek,de,Tibeter,"(A,B,C,D) (de)",Pairwise,gemini,qwen,0.0032972249931317865,60,
deepseek,de,Tibeter,"(A,B,C,D) (de)",Pairwise,gpt,qwen,-0.006788243790553761,60,
deepseek,de,Tibeter,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,gemini,0.01433975808705823,60,
deepseek,de,Tibeter,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,gpt,-0.007934400225565463,59,
deepseek,de,Tibeter,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,qwen,-0.007481167201732086,60,
deepseek,de,Tibeter,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gemini,gpt,0.02596589530188753,59,
deepseek,de,Tibeter,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gemini,qwen,0.027115952482526295,60,
deepseek,de,Tibeter,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gpt,qwen,-0.0060405319695848725,59,
deepseek,de,Uiguren,"(5,4,3,2,1) (de)",Pairwise,deepseek,gemini,0.12947215739312723,60,
deepseek,de,Uiguren,"(5,4,3,2,1) (de)",Pairwise,deepseek,gpt,0.06653679040728444,60,
deepseek,de,Uiguren,"(5,4,3,2,1) (de)",Pairwise,deepseek,qwen,0.06215807688574393,60,
deepseek,de,Uiguren,"(5,4,3,2,1) (de)",Pairwise,gemini,gpt,0.021279709758595278,60,
deepseek,de,Uiguren,"(5,4,3,2,1) (de)",Pairwise,gemini,qwen,0.016851641974208187,60,
deepseek,de,Uiguren,"(5,4,3,2,1) (de)",Pairwise,gpt,qwen,-0.008424351509697336,60,
deepseek,de,Uiguren,"(A,B,C,D) (de)",Pairwise,deepseek,gemini,0.0667022870200199,60,
deepseek,de,Uiguren,"(A,B,C,D) (de)",Pairwise,deepseek,gpt,0.1339331995711358,60,
deepseek,de,Uiguren,"(A,B,C,D) (de)",Pairwise,deepseek,qwen,0.1744822074248329,60,
deepseek,de,Uiguren,"(A,B,C,D) (de)",Pairwise,gemini,gpt,0.01584980577029005,60,
deepseek,de,Uiguren,"(A,B,C,D) (de)",Pairwise,gemini,qwen,0.0028111034700443183,60,
deepseek,de,Uiguren,"(A,B,C,D) (de)",Pairwise,gpt,qwen,0.02078595977679909,60,
deepseek,de,Uiguren,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,gemini,0.0431105275722129,60,
deepseek,de,Uiguren,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,gpt,0.07300635685905432,59,
deepseek,de,Uiguren,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,qwen,0.0553684581803886,60,
deepseek,de,Uiguren,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gemini,gpt,0.009750961218171206,59,
deepseek,de,Uiguren,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gemini,qwen,-0.007936179045748393,60,
deepseek,de,Uiguren,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gpt,qwen,0.021148386077043058,59,
deepseek,en,Catalans,"(5,4,3,2,1) (en)",Pairwise,deepseek,gemini,0.054959639694523554,60,
deepseek,en,Catalans,"(5,4,3,2,1) (en)",Pairwise,deepseek,gpt,0.15162286356050836,60,
deepseek,en,Catalans,"(5,4,3,2,1) (en)",Pairwise,deepseek,qwen,0.3751324520464723,60,
deepseek,en,Catalans,"(5,4,3,2,1) (en)",Pairwise,gemini,gpt,0.005265738616993976,60,
deepseek,en,Catalans,"(5,4,3,2,1) (en)",Pairwise,gemini,qwen,0.14959447583176388,60,
deepseek,en,Catalans,"(5,4,3,2,1) (en)",Pairwise,gpt,qwen,0.10991223231653013,60,
deepseek,en,Catalans,"(A,B,C,D) (en)",Pairwise,deepseek,gemini,0.0,60,
deepseek,en,Catalans,"(A,B,C,D) (en)",Pairwise,deepseek,gpt,0.12423578032198923,60,
deepseek,en,Catalans,"(A,B,C,D) (en)",Pairwise,deepseek,qwen,0.15797268389007724,60,
deepseek,en,Catalans,"(A,B,C,D) (en)",Pairwise,gemini,gpt,0.09568651605395484,60,
deepseek,en,Catalans,"(A,B,C,D) (en)",Pairwise,gemini,qwen,0.12701640673090409,60,
deepseek,en,Catalans,"(A,B,C,D) (en)",Pairwise,gpt,qwen,-0.008464621337756162,60,
deepseek,en,Catalans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,deepseek,gemini,-0.006720707442888996,60,
deepseek,en,Catalans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,deepseek,gpt,0.14580881782400468,60,
deepseek,en,Catalans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,deepseek,qwen,0.4270030816640986,60,
deepseek,en,Catalans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,gemini,gpt,0.16710635513422056,60,
deepseek,en,Catalans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,gemini,qwen,0.4547962876697603,60,
deepseek,en,Catalans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,gpt,qwen,0.07731617409043046,60,
deepseek,en,Kurds,"(5,4,3,2,1) (en)",Pairwise,deepseek,gemini,-0.004488510752328256,60,
deepseek,en,Kurds,"(5,4,3,2,1) (en)",Pairwise,deepseek,gpt,0.04992972125262951,60,
deepseek,en,Kurds,"(5,4,3,2,1) (en)",Pairwise,deepseek,qwen,0.22395624972982764,60,
deepseek,en,Kurds,"(5,4,3,2,1) (en)",Pairwise,gemini,gpt,0.02300422271943514,60,
deepseek,en,Kurds,"(5,4,3,2,1) (en)",Pairwise,gemini,qwen,0.1892581938120158,60,
deepseek,en,Kurds,"(5,4,3,2,1) (en)",Pairwise,gpt,qwen,0.10953381376529181,60,
deepseek,en,Kurds,"(A,B,C,D) (en)",Pairwise,deepseek,gemini,-0.008474576271186418,60,
deepseek,en,Kurds,"(A,B,C,D) (en)",Pairwise,deepseek,gpt,-0.007633479877298788,60,
deepseek,en,Kurds,"(A,B,C,D) (en)",Pairwise,deepseek,qwen,0.03915713499962792,60,
deepseek,en,Kurds,"(A,B,C,D) (en)",Pairwise,gemini,gpt,-0.007633479877298788,60,
deepseek,en,Kurds,"(A,B,C,D) (en)",Pairwise,gemini,qwen,0.03915713499962792,60,
deepseek,en,Kurds,"(A,B,C,D) (en)",Pairwise,gpt,qwen,0.05320778996491515,60,
deepseek,en,Kurds,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,deepseek,gemini,0.0006107802717972843,60,
deepseek,en,Kurds,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,deepseek,gpt,-0.005389230538473289,60,
deepseek,en,Kurds,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,deepseek,qwen,0.22550235278526687,60,
deepseek,en,Kurds,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,gemini,gpt,0.015867913500876796,60,
deepseek,en,Kurds,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,gemini,qwen,0.3285942717919246,60,
deepseek,en,Kurds,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,gpt,qwen,0.22680610650318545,60,
deepseek,en,Palestinians,"(5,4,3,2,1) (en)",Pairwise,deepseek,gemini,0.016146136661740362,60,
deepseek,en,Palestinians,"(5,4,3,2,1) (en)",Pairwise,deepseek,gpt,0.09613671173532912,60,
deepseek,en,Palestinians,"(5,4,3,2,1) (en)",Pairwise,deepseek,qwen,0.13168755999925985,60,
deepseek,en,Palestinians,"(5,4,3,2,1) (en)",Pairwise,gemini,gpt,0.005469375889439965,60,
deepseek,en,Palestinians,"(5,4,3,2,1) (en)",Pairwise,gemini,qwen,0.03807304786111354,60,
deepseek,en,Palestinians,"(5,4,3,2,1) (en)",Pairwise,gpt,qwen,0.03411639617471274,60,
deepseek,en,Palestinians,"(A,B,C,D) (en)",Pairwise,deepseek,gemini,-0.0021086470630147236,60,
deepseek,en,Palestinians,"(A,B,C,D) (en)",Pairwise,deepseek,gpt,0.0038582313825371584,60,
deepseek,en,Palestinians,"(A,B,C,D) (en)",Pairwise,deepseek,qwen,0.1521521969973536,60,
deepseek,en,Palestinians,"(A,B,C,D) (en)",Pairwise,gemini,gpt,-0.007854349264518667,60,
deepseek,en,Palestinians,"(A,B,C,D) (en)",Pairwise,gemini,qwen,0.08921852400128438,60,
deepseek,en,Palestinians,"(A,B,C,D) (en)",Pairwise,gpt,qwen,0.08816427438488872,60,
deepseek,en,Palestinians,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,deepseek,gemini,0.012157220326140306,60,
deepseek,en,Palestinians,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,deepseek,gpt,-0.004540084114867282,60,
deepseek,en,Palestinians,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,deepseek,qwen,0.4472449955206238,60,
deepseek,en,Palestinians,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,gemini,gpt,-0.00040677966101698715,60,
deepseek,en,Palestinians,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,gemini,qwen,0.396485737448389,60,
deepseek,en,Palestinians,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,gpt,qwen,0.4862276352255802,60,
deepseek,en,Rohingya (en),"(5,4,3,2,1) (en)",Pairwise,deepseek,gemini,0.12872229732196827,60,
deepseek,en,Rohingya (en),"(5,4,3,2,1) (en)",Pairwise,deepseek,gpt,0.04034637195023061,60,
deepseek,en,Rohingya (en),"(5,4,3,2,1) (en)",Pairwise,deepseek,qwen,0.2844784642488306,60,
deepseek,en,Rohingya (en),"(5,4,3,2,1) (en)",Pairwise,gemini,gpt,0.04952087527083304,60,
deepseek,en,Rohingya (en),"(5,4,3,2,1) (en)",Pairwise,gemini,qwen,-0.0049980869723698085,60,
deepseek,en,Rohingya (en),"(5,4,3,2,1) (en)",Pairwise,gpt,qwen,0.17952058796065584,60,
deepseek,en,Rohingya (en),"(A,B,C,D) (en)",Pairwise,deepseek,gemini,0.18123846282933376,60,
deepseek,en,Rohingya (en),"(A,B,C,D) (en)",Pairwise,deepseek,gpt,0.1136479794509111,60,
deepseek,en,Rohingya (en),"(A,B,C,D) (en)",Pairwise,deepseek,qwen,0.6941354692780011,60,
deepseek,en,Rohingya (en),"(A,B,C,D) (en)",Pairwise,gemini,gpt,0.01185824568735927,60,
deepseek,en,Rohingya (en),"(A,B,C,D) (en)",Pairwise,gemini,qwen,0.06346400272071884,60,
deepseek,en,Rohingya (en),"(A,B,C,D) (en)",Pairwise,gpt,qwen,0.22121647440696857,60,
deepseek,en,Rohingya (en),Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,deepseek,gemini,0.004738719147882597,60,
deepseek,en,Rohingya (en),Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,deepseek,gpt,-0.006353317275465953,60,
deepseek,en,Rohingya (en),Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,deepseek,qwen,0.5228684252407096,60,
deepseek,en,Rohingya (en),Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,gemini,gpt,0.018772778387459388,60,
deepseek,en,Rohingya (en),Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,gemini,qwen,0.364217899537436,60,
deepseek,en,Rohingya (en),Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,gpt,qwen,0.6245803651846393,60,
deepseek,en,Tibetans,"(5,4,3,2,1) (en)",Pairwise,deepseek,gemini,0.07857991167343026,60,
deepseek,en,Tibetans,"(5,4,3,2,1) (en)",Pairwise,deepseek,gpt,0.003793213222790248,60,
deepseek,en,Tibetans,"(5,4,3,2,1) (en)",Pairwise,deepseek,qwen,-0.008581244809660271,57,
deepseek,en,Tibetans,"(5,4,3,2,1) (en)",Pairwise,gemini,gpt,0.3764768030664971,60,
deepseek,en,Tibetans,"(5,4,3,2,1) (en)",Pairwise,gemini,qwen,0.3105735072708996,57,
deepseek,en,Tibetans,"(5,4,3,2,1) (en)",Pairwise,gpt,qwen,0.013721462943415252,57,
deepseek,en,Tibetans,"(A,B,C,D) (en)",Pairwise,deepseek,gemini,0.049043543021452085,60,
deepseek,en,Tibetans,"(A,B,C,D) (en)",Pairwise,deepseek,gpt,0.005407827323972825,60,
deepseek,en,Tibetans,"(A,B,C,D) (en)",Pairwise,deepseek,qwen,0.01892511633632732,57,
deepseek,en,Tibetans,"(A,B,C,D) (en)",Pairwise,gemini,gpt,0.019288068594379038,60,
deepseek,en,Tibetans,"(A,B,C,D) (en)",Pairwise,gemini,qwen,0.010285372973864781,57,
deepseek,en,Tibetans,"(A,B,C,D) (en)",Pairwise,gpt,qwen,-0.008840990066127485,57,
deepseek,en,Tibetans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,deepseek,gemini,-0.008320375265640445,60,
deepseek,en,Tibetans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,deepseek,gpt,-0.004725042599743601,60,
deepseek,en,Tibetans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,deepseek,qwen,-0.007670904234270193,57,
deepseek,en,Tibetans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,gemini,gpt,-0.006653007261331112,60,
deepseek,en,Tibetans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,gemini,qwen,0.036879946222121096,57,
deepseek,en,Tibetans,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,gpt,qwen,0.07255975833098371,57,
deepseek,en,Uyghurs,"(5,4,3,2,1) (en)",Pairwise,deepseek,gemini,0.030557815639090102,60,
deepseek,en,Uyghurs,"(5,4,3,2,1) (en)",Pairwise,deepseek,gpt,0.16985352160875822,60,
deepseek,en,Uyghurs,"(5,4,3,2,1) (en)",Pairwise,deepseek,qwen,0.11937643563389044,60,
deepseek,en,Uyghurs,"(5,4,3,2,1) (en)",Pairwise,gemini,gpt,0.24916533294852283,60,
deepseek,en,Uyghurs,"(5,4,3,2,1) (en)",Pairwise,gemini,qwen,0.1723153363845159,60,
deepseek,en,Uyghurs,"(5,4,3,2,1) (en)",Pairwise,gpt,qwen,0.0776198688687546,60,
deepseek,en,Uyghurs,"(A,B,C,D) (en)",Pairwise,deepseek,gemini,0.13358125087213701,60,
deepseek,en,Uyghurs,"(A,B,C,D) (en)",Pairwise,deepseek,gpt,0.12631641401232407,60,
deepseek,en,Uyghurs,"(A,B,C,D) (en)",Pairwise,deepseek,qwen,0.1751377782363983,60,
deepseek,en,Uyghurs,"(A,B,C,D) (en)",Pairwise,gemini,gpt,0.03516992486618353,60,
deepseek,en,Uyghurs,"(A,B,C,D) (en)",Pairwise,gemini,qwen,0.0031447048614308137,60,
deepseek,en,Uyghurs,"(A,B,C,D) (en)",Pairwise,gpt,qwen,-0.00627203108353469,60,
deepseek,en,Uyghurs,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,deepseek,gemini,0.00706491161862266,60,
deepseek,en,Uyghurs,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,deepseek,gpt,0.020693578241865573,60,
deepseek,en,Uyghurs,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,deepseek,qwen,-0.0072046660565172616,60,
deepseek,en,Uyghurs,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,gemini,gpt,-0.00795054450176047,60,
deepseek,en,Uyghurs,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,gemini,qwen,0.060883400107855756,60,
deepseek,en,Uyghurs,Severe distortions visible; Significant distortions visible; Minimal distortions visible; No distortion visible (en),Pairwise,gpt,qwen,0.09256096939192882,60,
gemini,de,Katalanen,"(5,4,3,2,1) (de)",Pairwise,deepseek,gemini,-0.008240634721418338,60,
gemini,de,Katalanen,"(5,4,3,2,1) (de)",Pairwise,deepseek,gpt,-0.008116122238247314,60,
gemini,de,Katalanen,"(5,4,3,2,1) (de)",Pairwise,deepseek,qwen,0.06605660988771012,60,
gemini,de,Katalanen,"(5,4,3,2,1) (de)",Pairwise,gemini,gpt,-0.008414740189315761,60,
gemini,de,Katalanen,"(5,4,3,2,1) (de)",Pairwise,gemini,qwen,0.046358558686639184,60,
gemini,de,Katalanen,"(5,4,3,2,1) (de)",Pairwise,gpt,qwen,0.05303093892924393,60,
gemini,de,Katalanen,"(A,B,C,D) (de)",Pairwise,deepseek,gemini,0.0740323164091714,60,
gemini,de,Katalanen,"(A,B,C,D) (de)",Pairwise,deepseek,gpt,-0.004007174538730007,60,
gemini,de,Katalanen,"(A,B,C,D) (de)",Pairwise,deepseek,qwen,0.06943181921815944,60,
gemini,de,Katalanen,"(A,B,C,D) (de)",Pairwise,gemini,gpt,0.036724474871252855,60,
gemini,de,Katalanen,"(A,B,C,D) (de)",Pairwise,gemini,qwen,-0.005978147147393198,60,
gemini,de,Katalanen,"(A,B,C,D) (de)",Pairwise,gpt,qwen,0.03316827165847014,60,
gemini,de,Katalanen,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,gemini,0.051866863178580136,60,
gemini,de,Katalanen,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,gpt,0.053068754797841566,60,
gemini,de,Katalanen,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,qwen,0.0031275058572116654,60,
gemini,de,Katalanen,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gemini,gpt,-0.008094650647214374,60,
gemini,de,Katalanen,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gemini,qwen,0.13619501354782348,60,
gemini,de,Katalanen,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gpt,qwen,0.15220948351657915,60,
gemini,de,Kurden,"(5,4,3,2,1) (de)",Pairwise,deepseek,gemini,-0.007750116422145847,60,
gemini,de,Kurden,"(5,4,3,2,1) (de)",Pairwise,deepseek,gpt,0.015868611566134283,60,
gemini,de,Kurden,"(5,4,3,2,1) (de)",Pairwise,deepseek,qwen,0.043686199846938334,60,
gemini,de,Kurden,"(5,4,3,2,1) (de)",Pairwise,gemini,gpt,0.002903176922586015,60,
gemini,de,Kurden,"(5,4,3,2,1) (de)",Pairwise,gemini,qwen,0.054337741087083447,60,
gemini,de,Kurden,"(5,4,3,2,1) (de)",Pairwise,gpt,qwen,0.13414087131025132,60,
gemini,de,Kurden,"(A,B,C,D) (de)",Pairwise,deepseek,gemini,0.13485609119202935,60,
gemini,de,Kurden,"(A,B,C,D) (de)",Pairwise,deepseek,gpt,0.044583640383198286,60,
gemini,de,Kurden,"(A,B,C,D) (de)",Pairwise,deepseek,qwen,0.11376038276907086,60,
gemini,de,Kurden,"(A,B,C,D) (de)",Pairwise,gemini,gpt,0.0399890627866607,60,
gemini,de,Kurden,"(A,B,C,D) (de)",Pairwise,gemini,qwen,-0.00248837707914884,60,
gemini,de,Kurden,"(A,B,C,D) (de)",Pairwise,gpt,qwen,0.01788506460293493,60,
gemini,de,Kurden,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,gemini,0.019579900906624093,60,
gemini,de,Kurden,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,gpt,0.032668777798892545,59,
gemini,de,Kurden,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,qwen,0.048185010896875324,60,
gemini,de,Kurden,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gemini,gpt,-0.008162248627380686,59,
gemini,de,Kurden,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gemini,qwen,0.18427258877921582,60,
gemini,de,Kurden,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gpt,qwen,0.23760572543916736,59,
gemini,de,Palästinenser,"(5,4,3,2,1) (de)",Pairwise,deepseek,gemini,0.002643399385306333,60,
gemini,de,Palästinenser,"(5,4,3,2,1) (de)",Pairwise,deepseek,gpt,-0.002482381414783408,60,
gemini,de,Palästinenser,"(5,4,3,2,1) (de)",Pairwise,deepseek,qwen,0.05116602564467254,60,
gemini,de,Palästinenser,"(5,4,3,2,1) (de)",Pairwise,gemini,gpt,-0.007561205273069582,60,
gemini,de,Palästinenser,"(5,4,3,2,1) (de)",Pairwise,gemini,qwen,0.01544799275187747,60,
gemini,de,Palästinenser,"(5,4,3,2,1) (de)",Pairwise,gpt,qwen,0.026143275788621412,60,
gemini,de,Palästinenser,"(A,B,C,D) (de)",Pairwise,deepseek,gemini,-0.0027071719920552795,60,
gemini,de,Palästinenser,"(A,B,C,D) (de)",Pairwise,deepseek,gpt,-0.0013232271486314229,60,
gemini,de,Palästinenser,"(A,B,C,D) (de)",Pairwise,deepseek,qwen,-0.0002230447251525547,60,
gemini,de,Palästinenser,"(A,B,C,D) (de)",Pairwise,gemini,gpt,0.01562814596258766,60,
gemini,de,Palästinenser,"(A,B,C,D) (de)",Pairwise,gemini,qwen,-0.008200044884728364,60,
gemini,de,Palästinenser,"(A,B,C,D) (de)",Pairwise,gpt,qwen,0.025153702768494268,60,
gemini,de,Palästinenser,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,gemini,0.03401322390777006,60,
gemini,de,Palästinenser,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,gpt,0.025442658948759744,59,
gemini,de,Palästinenser,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,deepseek,qwen,0.0573555301108184,60,
gemini,de,Palästinenser,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gemini,gpt,-0.008034093694243793,59,
gemini,de,Palästinenser,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gemini,qwen,0.26080690964062525,60,
gemini,de,Palästinenser,Extreme Verzerrungen erkennbar; Deutliche Verzerrungen erkennbar; Minimale Verzerrungen erkennbar; Keine Verzerrungen erkennbar (de),Pairwise,gpt,qwen,0.2206307968358232,59,
gemini,de,Rohingya (de),"(5,4,3,2,1) (de)",Pairwise,deepseek,gemini,0.02024801328445447,60,
gemini,de,Rohingya (de),"(5,4,3,2,1) (de)",Pairwise,deepseek,gpt,0.08224657238475663,60,
gemini,de,Rohingya (de),"(5,4,3,2,1) (de)",Pairwise,deepseek,qwen,-0.005100330514355544,60,
gemini,de,Rohingya (de),"(5,4,3,2,1) (de)",Pairwise,gemini,gpt,-0.0009904037130950005,60,
